Return,Risk
0.0102749718,0.0040640009
0.0102713386,0.0040672237
0.0102752746,0.0040655093
0.0102752746,0.0040655093
0.0102752746,0.0040655093
0.0102752746,0.0040655093
0.0102713386,0.0040672237
0.0102752746,0.0040655093
0.0102752746,0.0040655093
0.0102749718,0.0040640009
0.0102749718,0.0040640009
0.0102749718,0.0040640009
0.0102668669,0.004053419
0.0102749718,0.0040640009
0.0102749718,0.0040640009
0.0102659004,0.0040415182
0.0102659004,0.0040415182
0.0102659004,0.0040415182
0.0102659004,0.0040415182
0.0102659004,0.0040415182
0.0102659004,0.0040415182
0.0102659004,0.0040415182
0.0099687057,0.0036264976
0.0098372321,0.0034605832
0.0091197421,0.0026540307
0.0090723209,0.002604474
0.0087888285,0.0023407547
0.0086697563,0.0022386054
0.0082059729,0.0018561078
0.007907709,0.0016475305
0.0077912314,0.0015859365
0.0077798814,0.0015888361
0.0074820406,0.0014069254
0.0072902329,0.0013146572
0.007151086,0.001259847
0.0070568155,0.0012262884
0.0070923074,0.0012471142
0.0068725632,0.0011629008
0.0064524231,0.0010222016
0.0063828352,0.0010076096
0.0059624406,0.0008987785
0.0058418259,0.0008720658
0.0057871258,0.0008629107
0.0054400534,0.0008020271
0.005273305,0.000777859
0.004933771,0.000735478
0.0047664224,0.0007197324
0.0044665074,0.0006948655
0.0039677186,0.0006671734
0.0032994616,0.0006482482
0.0028217583,0.0006431189
