Return,Risk
0.003892571,0.0014699485
0.003892571,0.0014699485
0.003892047,0.0014720991
0.003892571,0.0014699485
0.003892571,0.0014699485
0.003892571,0.0014699485
0.003892571,0.0014699485
0.003892571,0.0014699485
0.003892571,0.0014699485
0.003892571,0.0014699485
0.0038330145,0.0012154714
0.0038151459,0.0011536004
0.0038133011,0.0011420579
0.0037880831,0.0010713515
0.0037495498,0.0009638691
0.0037488245,0.0009677377
0.003731798,0.0009403662
0.0037280588,0.0009327118
0.0037162757,0.0009192103
0.0037292643,0.0009366675
0.0036795415,0.0008698229
0.0037010835,0.0008922878
0.0036410838,0.0008060592
0.0036246781,0.0007858879
0.0036251002,0.0007858709
0.0035258806,0.0006826989
0.0035193406,0.0006793951
0.0035105095,0.0006775438
0.0035404622,0.0007026937
0.0034720324,0.0006476837
0.0034655028,0.0006454395
0.0034660275,0.0006437679
0.0034661241,0.0006463989
0.0034437083,0.0006345381
0.0033937867,0.0006093659
0.0033875754,0.0006061777
0.0033774689,0.0006031016
0.0033666726,0.0005997009
0.0033147139,0.0005833096
0.003286791,0.0005751993
0.0032515794,0.0005670219
0.0031802961,0.0005508234
0.003179298,0.0005514679
0.0028505674,0.0004931661
0.0025960253,0.0004558272
0.0023117063,0.0004210713
0.0019946458,0.0003897215
0.0016452171,0.000363014
0.0010180168,0.000328217
0.0004365474,0.0003088656
3.68979e-05,0.0003050486
