Return,Risk
0.0089174301,0.0025024521
0.0089174301,0.0025024521
0.0089174301,0.0025024521
0.0089174301,0.0025024521
0.0089174301,0.0025024521
0.0089174301,0.0025024521
0.0089174301,0.0025024521
0.0089174301,0.0025024521
0.0089174301,0.0025024521
0.0089174301,0.0025024521
0.0089174301,0.0025024521
0.0089174301,0.0025024521
0.0089163937,0.002498949
0.0089163937,0.002498949
0.0087032691,0.0019434565
0.0086215668,0.0017228913
0.0087786014,0.0020225961
0.0085875221,0.0016605682
0.0086535298,0.0017709004
0.0085046935,0.0015093132
0.0085001573,0.0014969908
0.0084628745,0.0014485487
0.0084247796,0.001402396
0.0084173336,0.0013894761
0.0084268192,0.0013931123
0.0082468392,0.0012174455
0.0082317155,0.0012065391
0.0081387888,0.0011216808
0.0082074162,0.0011746594
0.008027885,0.001038047
0.0078056422,0.0008956866
0.0076796807,0.000819442
0.0076660556,0.0008125778
0.0076605364,0.000809812
0.0075921089,0.000773118
0.0075287281,0.0007449704
0.0074334482,0.0007053384
0.0074038229,0.0006946783
0.0071929411,0.0006254016
0.007014458,0.0005739808
0.0068933883,0.0005425407
0.006690703,0.000495678
0.006476432,0.0004519326
0.0061818061,0.0003999897
0.005861325,0.0003514497
0.0054629869,0.0003028727
0.0048979501,0.0002494122
0.0043469832,0.0002094363
0.0034864293,0.0001677318
0.0026763566,0.0001431821
0.0017412658,0.0001331492
