Return,Risk
0.0079171883,0.001292049
0.0079171883,0.001292049
0.0079171883,0.001292049
0.0079171883,0.001292049
0.0079171883,0.001292049
0.0079124488,0.0012906357
0.0079171883,0.001292049
0.0079171883,0.001292049
0.0079171883,0.001292049
0.0079171883,0.001292049
0.0079171883,0.001292049
0.0079171883,0.001292049
0.0079171883,0.001292049
0.0079171883,0.001292049
0.0079171883,0.001292049
0.0079171883,0.001292049
0.0079171883,0.001292049
0.0079171883,0.001292049
0.0079171883,0.001292049
0.0079171883,0.001292049
0.0079171883,0.001292049
0.0079171883,0.001292049
0.0079113425,0.0012877053
0.0079171883,0.001292049
0.0079171883,0.001292049
0.0079171883,0.001292049
0.0079171883,0.001292049
0.0077834431,0.0011772523
0.0077004867,0.0011094018
0.0076372219,0.0010628993
0.0073734239,0.0008817932
0.0073420236,0.0008626671
0.0072672428,0.0008229013
0.0071950909,0.0007855092
0.0071808532,0.0007773511
0.0070592175,0.0007210304
0.0069538024,0.0006768662
0.0067901023,0.000616833
0.0066054972,0.0005567577
0.0064977323,0.0005266139
0.0063965187,0.0005012091
0.0062521827,0.0004700862
0.0060315347,0.0004264559
0.0058394089,0.0003941746
0.0056721122,0.0003700662
0.0054489271,0.000343076
0.0051067366,0.0003087961
0.0048078495,0.0002871664
0.0037318229,0.0002294039
0.0032982428,0.0002158609
0.0023874224,0.0002061743
