Return,Risk
0.0089174301,0.0025024521
0.0089174301,0.0025024521
0.0089174301,0.0025024521
0.0089174301,0.0025024521
0.0089174301,0.0025024521
0.0089174301,0.0025024521
0.0089174301,0.0025024521
0.0089174301,0.0025024521
0.0089174301,0.0025024521
0.0089174301,0.0025024521
0.0089174301,0.0025024521
0.0089174301,0.0025024521
0.0089163937,0.002498949
0.0089163937,0.002498949
0.0089163937,0.002498949
0.00860888,0.0016836332
0.0087480461,0.0019783388
0.0085875221,0.0016605682
0.0085201634,0.0015353448
0.0085084045,0.0015149952
0.0084977299,0.0014984395
0.0084810044,0.0014767656
0.0084901218,0.0014861068
0.0084243628,0.0014004865
0.0084276133,0.0013942816
0.0082522013,0.0012201297
0.0082517709,0.0012197541
0.0082383929,0.0012042487
0.0081932771,0.0011618543
0.0080441068,0.0010507918
0.0078463079,0.0009229465
0.0077065357,0.0008353022
0.0076509092,0.0008059931
0.0076588028,0.0008103974
0.0075257026,0.0007429289
0.007467186,0.0007191053
0.0074254943,0.0007031833
0.0073783749,0.0006866025
0.0071976314,0.0006279645
0.0070497376,0.0005842139
0.0068625802,0.0005348062
0.0066596775,0.0004884942
0.0064449987,0.0004457833
0.0061818061,0.0003999897
0.005861325,0.0003514497
0.0054459692,0.0003009478
0.0049230286,0.0002515816
0.0043397152,0.000208961
0.0032781466,0.0001590846
0.0029452982,0.0001484994
0.0017412658,0.0001331492
